filename;code;name;baz_dot;rev_dot;coord_x;coord_y
dod6;11204100000;м. Світловодськ;9 033.9;;0.21308662;0.104001572
dod6;05222100000;м. Селидове;3 541.4;;0.801432521;0.100242872
dod6;12213100000;м. Сєверодонецьк;;;0.626941284;0.155830947
dod6;04212100000;м. Синельникове;;;0.843089296;0.838111197
dod6;22204100000;м. Славута;261.0;;0.46544997;0.539173497
dod6;05223100000;м. Слов'янськ;10 176.5;;0.144910101;0.695744719
dod6;23205100000;м. Смiла;;;0.208640788;0.669754246
dod6;22205100000;м. Старокостянтинів;;;0.657194956;0.743901435
dod6;13207100000;м. Стрий;;;0.008693148;0.185143454
dod6;15206100000;м. Теплодар;3 645.9;;0.304516432;0.468975477
dod6;08205100000;м. Токмак;7 516.1;;0.254099887;0.698614001
dod6;13208100000;м. Трускавець;;;0.851805487;0.177533941
dod6;23206100000;м. Умань;9 407.8;;0.664163126;0.091108358
dod6;21201100000;м. Херсон;;;0.375045758;0.562354657
dod6;02206100000;м. Хмільник;3 217.3;;0.76487356;0.860192688
dod6;07204100000;м. Хуст;2 085.1;;0.764407401;0.646804126
dod6;13209100000;м. Червоноград;5 016.4;;0.555807668;0.646895276
dod6;24201100000;м. Чернівці;;;0.287795202;0.228120618
dod6;25201100000;м. Чернігів;;;0.380440999;0.484818253
dod6;19202100000;м. Чортків;4 151.5;;0.655548038;0.818920822
dod6;20207100000;м. Чугуїв;;;0.727446051;0.653824775
dod6;22206100000;м. Шепетiвка;;;0.795501939;0.213218786
dod6;18207100000;м. Шостка;11 750.3;;0.204499997;0.240190518
dod6;09205100000;м. Яремче;2 348.7;;0.213181261;0.190799257
dod6;15301200000;Ананьївський р-н;6 048.1;;0.348012127;0.002140555
dod6;06301200000;Андрушівський р-н;4 344.7;;0.615453849;0.3890851
dod6;14301200000;Арбузинський р-н;;;0.423826895;0.476319712
dod6;05302200000;Аpтемівський р-н;299.8;;0.568766049;0.057264836
dod6;15302200000;Арцизький р-н;10 786.2;;0.740870239;0.54001025
dod6;15303200000;Балтський р-н;2 811.2;;0.54865288;0.535303089
dod6;06302200000;Баранівський р-н;11 948.5;;0.239684717;0.271946556
dod6;20302200000;Барвінківський р-н;2 510.0;;0.481475818;0.510596435
dod6;10301200000;Баришiвський р-н;1 787.8;;0.618014314;0.412703889
dod6;02301200000;Барський р-н;11 507.6;;0.842747199;0.793705856
dod6;25301200000;Бахмацький р-н;465.2;;0.810669951;0.710350314
dod6;14302200000;Баштанський р-н;5 630.4;;0.656996784;0.917361483
dod6;06303200000;Бердичівський р-н;6 286.3;;0.164643385;0.671827331
dod6;08301200000;Бердянський р-н;1 924.7;;0.195898501;0.685411465
dod6;07301200000;Берегівський р-н;21 021.7;;0.872849503;0.694315048
dod6;19301200000;Бережанський р-н;9 273.5;;0.719279733;0.581155519
dod6;14303200000;Березанський р-н;2 906.4;;0.396866262;0.627252273
dod6;15304200000;Березівський р-н;4 163.4;;0.365356976;0.878506152
dod6;17301200000;Березнiвський р-н;22 050.6;;0.12231998;0.287577759
dod6;14304200000;Березнегуватський р-н;4 309.6;;0.462970353;0.189340906
dod6;21301200000;Бериславський р-н;13 846.3;;0.743488099;0.517824288
dod6;02302200000;Бершадський р-н;13 494.2;;0.696769533;0.781563344
dod6;15305200000;Білгород-Дністровський р-н;13 041.2;;0.788434768;0.840836029
dod6;12302200000;Біловодський р-н;2 330.9;;0.783888653;0.099116028
dod6;22301200000;Бiлогiрський  р-н;5 741.4;;0.26747566;0.865449123
dod6;21302200000;Білозерський р-н;15 437.4;;0.107422577;0.944182469
dod6;12303200000;Білокуракинський р-н;1 169.9;;0.951639252;0.221131323
dod6;18301200000;Бiлопiльський р-н;9 284.6;;0.811923849;0.546452427
dod6;10302200000;Бiлоцеркiвський р-н;;;0.39545583;0.617022418
dod6;15306200000;Біляївський р-н;18 057.8;;0.447309224;0.042269695
dod6;20303200000;Близнюківський р-н;;;0.808180427;0.369146222
dod6;11301200000;Бобринецький р-н;2 061.5;;0.437539868;0.820524578
dod6;25302200000;Бобровицький р-н;;;0.221784995;0.631675289
dod6;20304200000;Богодухівський р-н;5 554.3;;0.907013361;0.591191226
dod6;09301200000;Богородчанський р-н;17 263.8;;0.485986282;0.904171276
dod6;10303200000;Богуславський р-н;5 329.6;;0.516781426;0.345133895
dod6;15307200000;Болградський р-н;22 545.7;;0.519037346;0.011818295
dod6;25303200000;Борзнянський р-н;5 570.4;;0.323657359;0.322756429
dod6;20305200000;Борівський р-н;1 818.0;;0.761962487;0.467139096
dod6;10305200000;Бородянський р-н;12 743.2;;0.70902528;0.926424519
dod6;19302200000;Борщівський р-н;12 174.6;;0.651824835;0.679188359
dod6;14305200000;Братський р-н;2 087.5;;0.801351416;0.814641339
dod6;13301200000;Бродівський  р-н;5 953.0;;0.008107869;0.811028552
dod6;06304200000;Брусилівський р-н;3 284.2;;0.355476245;0.073957737
dod6;18302200000;Буринський р-н;3 486.6;;0.51190706;0.849006842
dod6;13302200000;Буський р-н;12 734.8;;0.401899243;0.226646377
dod6;19303200000;Бучацький р-н;18 540.2;;0.567702628;0.052213034
dod6;20306200000;Валківський р-н;3 683.1;;0.239314811;0.496103689
dod6;08302200000;Василівський р-н;;;0.94057145;0.653078464
dod6;04302200000;Василькiвский р-н (Дніпропетровська обл.);7 214.6;;0.424518903;0.110042306
dod6;10307200000;Василькiвський р-н (Київська обл.);;;0.677428957;0.357405253
dod6;16301200000;Великобагачанський р-н;1 273.6;;0.830029707;0.648136122
dod6;07302200000;Великоберезнянський р-н;7 574.5;;0.318053579;0.99482065
dod6;08303200000;Великобілозерський р-н;527.4;;0.464810855;0.732636615
dod6;20307200000;Великобурлуцький р-н;;;0.549433198;0.66003527
dod6;21303200000;Великолепетиський р-н;2 575.8;;0.053952875;0.272604827
dod6;15308200000;Великомихайлівський р-н;6 346.9;;0.282441104;0.204254031
dod6;05303200000;Великоновосілківський р-н;8 233.7;;0.996672427;0.99665743
dod6;21304200000;Великоолександрівський р-н;5 194.5;;0.763879711;0.63700317
dod6;18303200000;Великописарівський р-н;3 356.6;;0.34936234;0.580131666
dod6;04303200000;Верхньоднiпровський р-н;3 358.6;;0.920656449;0.751805557
dod6;21305200000;Верхньорогачицький р-н;3 871.0;;0.196157675;0.669708683
dod6;09302200000;Верховинський р-н;9 609.7;;0.252501377;0.422355494
dod6;14306200000;Веселинівський р-н;3 935.8;;0.818296683;0.031577786
dod6;08304200000;Веселівський р-н;1 956.9;;0.84299365;0.283282056
dod6;24301200000;Вижницький р-н;20 144.0;;0.387233227;0.741892593
dod6;07303200000;Виноградівський р-н;32 503.8;;0.830244622;0.54242544
dod6;21306200000;Високопільський р-н;2 757.5;;0.596038137;0.982131316
dod6;08305200000;Вільнянський р-н;6 120.2;;0.576492463;0.502395182
dod6;11302200000;Вільшанський р-н;1 218.4;;0.856008606;0.368515557
dod6;02303200000;Вінницький р-н;13 649.9;;0.688423543;0.699445539
dod6;22302200000;Вiньковецький  р-н;7 429.6;;0.707277413;0.333187761
dod6;20308200000;Вовчанський р-н;4 743.5;;0.98228613;0.761309132
dod6;14307200000;Вознесенський р-н;8 771.1;;0.49063863;0.052312658
dod6;05304200000;Волноваський р-н;2 443.7;;0.973657849;0.058482868
dod6;07304200000;Воловецький р-н;6 636.6;;0.446953474;0.303582539
dod6;05305200000;Володаpський р-н (Донецька обл.);3 902.1;;0.458741676;0.339601319
dod6;06305200000;Володарсько-Волинський р-н;4 958.6;;0.922352692;0.493495648
dod6;03301200000;Володимир-Волинський р-н;1 913.4;;0.57090316;0.199326291
dod6;17302200000;Володимирецький р-н;25 507.3;;0.276172401;0.600429641
dod6;22303200000;Волочиський р-н;755.9;;0.55494533;0.790167503
dod6;14308200000;Врадіївський р-н;3 930.7;;0.328984957;0.1844738
dod6;16302200000;Гадяцький р-н;;;0.48186001;0.449053446
dod6;11303200000;Гайворонський р-н;8 992.5;;0.310490792;0.368416278
dod6;02304200000;Гайсинський р-н;6 480.4;;0.270296482;0.330299909
dod6;09303200000;Галицький р-н;14 792.5;;0.583541383;0.453134763
dod6;21307200000;Генічеський р-н;15 200.0;;0.124353957;0.0740426
dod6;24302200000;Герцаївський р-н;13 194.0;;0.516419721;0.976203929
dod6;24303200000;Глибоцький р-н;26 386.1;;0.856044364;0.422862383
dod6;16303200000;Глобинський р-н;3 696.0;;0.868780806;0.42815169
dod6;18304200000;Глухiвський р-н;2 546.6;;0.830851021;0.903414846
dod6;11304200000;Голованівський р-н;;;0.782509994;0.873664094
dod6;21308200000;Голопристанський р-н;17 239.5;;0.022378605;0.846269117
dod6;21309200000;Горностаївський р-н;3 085.1;;0.255737126;0.551668008
dod6;09304200000;Городенківський р-н;18 766.5;;0.288139251;0.265296492
dod6;23301200000;Городищенський р-н;8 700.7;;0.962312666;0.216266752
dod6;25305200000;Городнянський р-н;6 795.0;;0.217823016;0.820949385
dod6;13303200000;Городоцький р-н (Львівська обл.);17 638.7;;0.71025313;0.119055998
dod6;22304200000;Городоцький р-н (Хмельницька обл.);11 633.0;;0.963440641;0.376733218
dod6;03302200000;Горохівський р-н;17 221.1;;0.888069596;0.01125399
dod6;17303200000;Гощанський р-н;4 867.4;;0.384138963;0.706018466
dod6;08306200000;Гуляйпільський р-н;183.0;;0.219352154;0.237774639
dod6;19304200000;Гусятинський р-н;15 231.4;;0.208536062;0.913606614
dod6;20309200000;Дворічанський р-н;1 209.0;;0.45402356;0.976921829
dod6;17304200000;Демидiвський р-н;4 691.9;;0.849391589;0.119285316
dod6;22305200000;Деражнянський  р-н;9 147.0;;0.514112227;0.489660834
dod6;20310200000;Дергачівський р-н;9 567.0;;0.61479431;0.780974867
dod6;04304200000;Днiпропетровський р-н;12 696.0;;0.094236744;0.544792215
dod6;05306200000;Добpопільський р-н;1 528.6;;0.169576284;0.907755784
dod6;11306200000;Долинський р-н (Кіровоградська обл.);1 132.9;;0.143397405;0.049027446
dod6;14309200000;Доманівський р-н;5 925.2;;0.072140425;0.192576237
dod6;23302200000;Драбiвський р-н;3 784.3;;0.406910334;0.612570856
dod6;13304200000;Дрогобицький р-н;32 774.9;;0.662525258;0.141132391
dod6;17305200000;Дубенський р-н;13 936.8;;0.681458801;0.985830461
dod6;17306200000;Дубровицький р-н;14 444.3;;0.652668876;0.630311964
dod6;22306200000;Дунаєвецький  р-н;2 029.3;;0.400662992;0.368749551
dod6;14310200000;Єланецький р-н;2 800.7;;0.700302989;0.945380126
dod6;06307200000;Ємільчинський р-н;10 821.8;;0.903618632;0.476719576
dod6;23303200000;Жашкiвський р-н;;;0.474276106;0.832454437
dod6;13305200000;Жидачівський р-н;15 977.9;;0.532088943;0.220658227
dod6;06308200000;Житомирський р-н;6 902.0;;0.02155511;0.380201702
dod6;02305200000;Жмеринський р-н;12 190.0;;0.71978917;0.494455577
dod6;13306200000;Жовківський р-н;33 433.9;;0.095580059;0.85738979
dod6;19305200000;Заліщицький р-н;16 538.5;;0.184841424;0.163767898
dod6;08307200000;Запорізький р-н;15 925.4;;0.287512941;0.192764361
dod6;17307200000;Зарiчненський р-н;14 307.0;;0.115162039;0.111092346
dod6;24304200000;Заставнівський р-н;19 286.1;;0.576478249;0.735866667
dod6;20311200000;Зачепилівський р-н;1 010.8;;0.312334955;0.305181637
dod6;19306200000;Збаразький р-н;18 772.3;;0.4947583;0.247839045
dod6;19307200000;Зборівський р-н;10 650.6;;0.437445826;0.861695729
dod6;23304200000;Звенигородський р-н;6 998.1;;0.179482583;0.679518124
dod6;17308200000;Здолбунiвський р-н;7 320.9;;0.344183377;0.615964149
dod6;16306200000;Зінківський р-н;;;0.047958556;0.120306726
dod6;20312200000;Зміївський р-н;4 687.6;;0.298098704;0.913470275
dod6;23305200000;Золотонiський р-н;1 015.9;;0.180167871;0.834754565
dod6;13307200000;Золочівський р-н (Львівська обл.);16 251.5;;0.335013647;0.765230608
dod6;20313200000;Золочівський р-н (Харківська обл.);4 407.0;;0.403536157;0.2664349
dod6;03303200000;Іваничівський р-н;3 304.9;;0.510203477;0.64304214
dod6;15309200000;Іванівський р-н (Одеська обл.);6 390.4;;0.495605088;0.133765794
dod6;21310200000;Іванівський р-н (Херсонська обл.);2 857.8;;0.957356587;0.719394683
dod6;15310200000;Ізмаїльський р-н;18 113.8;;0.195047826;0.720086027
dod6;20314200000;Ізюмський р-н;91.0;;0.599511584;0.592850402
dod6;22307200000;Iзяславський р-н;8 232.0;;0.76889877;0.07330747
dod6;02306200000;Іллінецький р-н;;;0.380381984;0.256445031
dod6;07305200000;Іршавський р-н;41 372.2;;0.49998359;0.520796787
dod6;25306200000;Ічнянський р-н;;;0.153093077;0.941706688
dod6;10312200000;Кагарлицький р-н;323.1;;0.929146885;0.737738043
dod6;14312200000;Казанківський р-н;1 219.9;;0.796349909;0.990229811
dod6;21311200000;Каланчацький р-н;4 722.5;;0.002124622;0.42177814
dod6;02307200000;Калинівський р-н;9 489.5;;0.556323922;0.424252799
dod6;09306200000;Калуський р-н;21 056.1;;0.023049152;0.047730369
dod6;22308200000;Кам'янець-Подiльський р-н;13 333.1;;0.777066065;0.56096387
dod6;08308200000;Кам'янсько-Дніпровський р-н;12 951.5;;0.365764698;0.863916873
dod6;03304200000;Камінь-Каширський р-н;26 496.8;;0.342168004;0.078150385
dod6;13308200000;Кам'янка-Бузький р-н;2 840.5;;0.282267394;0.384054626
dod6;23306200000;Кам'янський р-н;4 306.3;;0.209799693;0.920574522
dod6;16307200000;Карлівський р-н;1 401.8;;0.986853383;0.946367582
dod6;23308200000;Катеринопiльський р-н;1 429.8;;0.453589917;0.01351064
dod6;21312200000;Каховський р-н;6 590.0;;0.532962592;0.021423676
dod6;24305200000;Кельменецький р-н;14 830.7;;0.713831192;0.751454264
dod6;03305200000;Ківерцівський р-н;19 980.4;;0.728364941;0.79116673
dod6;15311200000;Кілійський р-н;15 085.8;;0.071141548;0.639609656
